packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,sfd_final_det,sfd_initial_pred,sfd_boot_det,sfd_boot_first_valid_back,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_timing_coarse_us,t_timing_fine_track_us,t_resample_us,t_cfo_us,t_sfd_us,sfd_boot_windows,sfd_boot_coarse,sfd_boot_fine,sfd_final_windows,sfd_final_coarse,sfd_final_fine,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
49,success,True,249408471,249406588,249365963,0.2990419864654541,64,2111.3504688337275,40,24,249433870,249473494,0.7923739552497864,249473495,249473495,249473495,0,0.9569339156150818,32512,54,False,54,4543.0,2240.0,1541.0,699.0,2165.0,310.0,823.0,1,5,15,1,5,15,936.0,141.0,36.0,57.0,29.0,4546.0,4576.0,37.0,731.0,167.0
50,success,True,254400481,254398588,254357963,0.3075617253780365,64,2144.4411748384564,40,24,254425880,254465504,0.8857445120811462,254465505,254465505,254465505,0,0.9570493698120117,32512,54,False,54,4257.0,2116.0,1385.0,731.0,2113.0,313.0,803.0,1,5,15,1,5,15,917.0,40.0,10.0,58.0,21.0,4260.0,4282.0,36.0,729.0,150.0
51,success,True,259392524,259390588,259349963,0.32288122177124023,64,2157.4935740838587,40,24,259417923,259457547,0.9102086424827576,259457548,259460596,259457548,3,0.9573398232460022,32512,54,False,54,4749.0,2241.0,1430.0,810.0,2144.0,297.0,1154.0,4,20,60,1,5,15,944.0,41.0,11.0,61.0,33.0,4753.0,4787.0,38.0,754.0,151.0
52,success,True,264384581,264382588,264341963,0.28254082798957825,64,2088.4625434025006,40,24,264409980,264449604,0.8183398842811584,264449605,264449605,264449605,0,0.9575890898704529,32512,54,False,54,4609.0,2157.0,1436.0,720.0,2128.0,305.0,811.0,1,5,15,1,5,15,1001.0,232.0,14.0,89.0,26.0,4614.0,4640.0,51.0,771.0,177.0
53,success,True,269376655,269374588,269333963,0.3178275227546692,64,2034.7387082716816,40,24,269402054,269441678,0.9039186239242554,269441679,269441679,269441679,0,0.9572744965553284,32512,54,False,54,4446.0,2208.0,1393.0,814.0,2115.0,292.0,808.0,1,5,15,1,5,15,1016.0,41.0,10.0,71.0,41.0,4449.0,4490.0,38.0,822.0,153.0
54,success,True,274368724,274366588,274325963,0.3222634792327881,64,2142.6307501444458,40,24,274394123,274433747,0.9038310050964355,274433748,274439844,274433748,6,0.9570063948631287,32512,54,False,54,5207.0,2241.0,1428.0,813.0,2129.0,302.0,1587.0,7,35,105,1,5,15,967.0,42.0,12.0,56.0,36.0,5211.0,5247.0,45.0,768.0,152.0
55,success,True,279360744,279358588,279317963,0.3115842342376709,64,1837.5379014450223,40,24,279386143,279425767,0.8729575872421265,279425768,279425768,279425768,0,0.9575421214103699,32512,54,False,54,4406.0,2181.0,1398.0,782.0,2133.0,299.0,832.0,1,5,15,1,5,15,985.0,42.0,21.0,46.0,34.0,4409.0,4444.0,38.0,793.0,152.0
56,success,True,284352695,284350588,284309963,0.32274913787841797,64,1967.817266351762,40,24,284378094,284417718,0.9100635051727295,284417719,284417719,284417719,0,0.9577267169952393,32512,54,False,54,4330.0,2125.0,1406.0,718.0,2163.0,295.0,822.0,1,5,15,1,5,15,969.0,41.0,11.0,67.0,26.0,4334.0,4360.0,38.0,778.0,152.0
57,success,True,289344776,289342588,289301963,0.31664884090423584,64,1622.2781702639127,40,24,289370175,289409799,0.9041367769241333,289409800,289409800,289409800,0,0.957480788230896,32512,54,False,54,4449.0,2208.0,1454.0,754.0,2109.0,322.0,824.0,1,5,15,1,5,15,962.0,41.0,30.0,62.0,29.0,4452.0,4482.0,40.0,768.0,152.0
58,success,True,294336832,294334588,294293963,0.2784252464771271,64,2043.743789912428,40,24,294362231,294401855,0.794678270816803,294401856,294401856,294401856,0,0.9581580758094788,32512,54,False,54,4421.0,2176.0,1440.0,736.0,2100.0,296.0,806.0,1,5,15,1,5,15,1030.0,44.0,11.0,58.0,24.0,4424.0,4449.0,37.0,804.0,187.0
